"GeneID";"Biotype";"Length";"Chromosome";"Location";"Exons";"Organism"
"Gene_000368";"rRNA";25800;2;"229175-250750";17;"Sus scrofa"
"Gene_000369";"protein_coding";22925;5;"653561-693063";16;"Sus scrofa"
"Gene_000370";"protein_coding";1886;4;"182399-192451";15;"Mus musculus"
"Gene_000371";"rRNA";6675;5;"701971-743125";7;"Bos taurus"
"Gene_000372";"rRNA";36812;3;"457527-475975";4;"Mus musculus"
"Gene_000373";"snRNA";3976;4;"307304-313024";3;"Homo sapiens"
"Gene_000374";"snRNA";33076;3;"559023-560644";16;"Sus scrofa"
"Gene_000375";"tRNA";44975;5;"873513-886378";13;"Sus scrofa"
"Gene_000376";"protein_coding";40410;4;"627689-644983";3;"Bos taurus"
"Gene_000377";"protein_coding";17572;2;"284220-326698";13;"Homo sapiens"
"Gene_000378";"protein_coding";3507;2;"496449-507937";19;"Bos taurus"
"Gene_000379";"snRNA";36776;4;"587514-594793";5;"Sus scrofa"
"Gene_000380";"rRNA";4240;5;"915950-933674";16;"Mus musculus"
"Gene_000381";"tRNA";40083;1;"376472-399541";16;"Homo sapiens"
"Gene_000382";"snRNA";49382;3;"120581-149923";18;"Sus scrofa"
"Gene_000383";"lncRNA";15071;2;"53085-65503";11;"Homo sapiens"
"Gene_000384";"rRNA";2829;5;"666841-684250";9;"Mus musculus"
"Gene_000385";"tRNA";13437;4;"713056-738763";15;"Bos taurus"
"Gene_000386";"protein_coding";42001;1;"700543-748096";2;"Bos taurus"
"Gene_000387";"snRNA";8615;4;"944648-979486";8;"Mus musculus"
"Gene_000388";"snRNA";26652;3;"777157-807187";5;"Homo sapiens"
"Gene_000389";"tRNA";36522;1;"904423-913360";7;"Sus scrofa"
"Gene_000390";"snRNA";28463;4;"322469-340362";8;"Homo sapiens"
"Gene_000391";"snRNA";39477;4;"221466-241308";2;"Mus musculus"
"Gene_000392";"protein_coding";21399;5;"762633-762986";5;"Bos taurus"
"Gene_000393";"snRNA";37271;3;"451493-472724";7;"Bos taurus"
"Gene_000394";"lncRNA";38527;5;"184733-233449";7;"Sus scrofa"
"Gene_000395";"lncRNA";17919;5;"748011-754803";6;"Mus musculus"
"Gene_000396";"rRNA";44920;5;"185493-230585";16;"Bos taurus"
"Gene_000397";"tRNA";37060;4;"267028-305655";14;"Sus scrofa"
"Gene_000398";"lncRNA";32604;2;"956182-1006020";14;"Mus musculus"
"Gene_000399";"lncRNA";9352;5;"160214-173846";15;"Homo sapiens"
"Gene_000400";"lncRNA";40322;4;"320974-347637";19;"Homo sapiens"
"Gene_000401";"lncRNA";9539;2;"609617-638882";9;"Homo sapiens"
"Gene_000402";"lncRNA";22987;5;"667739-676277";6;"Bos taurus"
"Gene_000403";"snRNA";216;4;"987420-990709";2;"Bos taurus"
"Gene_000404";"lncRNA";44327;2;"979937-1027460";15;"Bos taurus"
"Gene_000405";"snRNA";1848;5;"994760-1003624";1;"Sus scrofa"
"Gene_000406";"lncRNA";16594;5;"403325-440777";12;"Mus musculus"
"Gene_000407";"lncRNA";48798;4;"74861-82228";7;"Homo sapiens"
"Gene_000408";"snRNA";9002;4;"975915-993076";12;"Bos taurus"
"Gene_000409";"rRNA";34432;3;"27213-47565";13;"Mus musculus"
"Gene_000410";"rRNA";33243;2;"78269-113750";10;"Bos taurus"
"Gene_000411";"rRNA";28452;3;"59186-108959";6;"Sus scrofa"
"Gene_000412";"rRNA";18302;5;"633405-636467";7;"Homo sapiens"
"Gene_000413";"snRNA";49642;4;"647554-675123";13;"Homo sapiens"
"Gene_000414";"tRNA";34115;4;"489456-492837";7;"Bos taurus"
"Gene_000415";"lncRNA";41517;3;"752569-761786";16;"Sus scrofa"
"Gene_000416";"lncRNA";18794;5;"192315-232422";6;"Sus scrofa"
"Gene_000417";"rRNA";10077;3;"253547-294057";18;"Bos taurus"
"Gene_000418";"snRNA";39567;4;"499716-502276";20;"Mus musculus"
"Gene_000419";"tRNA";26372;3;"534992-580295";4;"Homo sapiens"
"Gene_000420";"tRNA";26978;4;"636061-646555";2;"Mus musculus"
"Gene_000421";"rRNA";29311;1;"640839-687424";16;"Homo sapiens"
"Gene_000422";"rRNA";39169;3;"423848-463077";15;"Homo sapiens"
"Gene_000423";"tRNA";36040;1;"719901-768436";7;"Bos taurus"
"Gene_000424";"protein_coding";26721;4;"764430-772748";1;"Bos taurus"
"Gene_000425";"tRNA";38645;5;"672748-706616";16;"Sus scrofa"
"Gene_000426";"lncRNA";41351;4;"674270-710133";11;"Homo sapiens"
"Gene_000427";"snRNA";37821;4;"592166-603311";1;"Sus scrofa"
"Gene_000428";"snRNA";48056;2;"861350-904657";7;"Bos taurus"
"Gene_000429";"lncRNA";42957;3;"882160-908101";10;"Homo sapiens"
"Gene_000430";"lncRNA";26493;3;"483605-531617";7;"Mus musculus"
"Gene_000431";"rRNA";47848;3;"263840-290761";8;"Homo sapiens"
"Gene_000432";"tRNA";35100;3;"206428-222566";12;"Bos taurus"
"Gene_000433";"tRNA";14904;2;"346241-369367";14;"Homo sapiens"
"Gene_000434";"protein_coding";41360;1;"709465-720821";8;"Bos taurus"
"Gene_000435";"rRNA";34828;4;"515183-540436";6;"Homo sapiens"
"Gene_000436";"snRNA";31894;3;"959841-982443";7;"Homo sapiens"
"Gene_000437";"snRNA";47958;5;"776820-817266";16;"Mus musculus"
"Gene_000438";"tRNA";28632;4;"24025-72777";4;"Sus scrofa"
"Gene_000439";"protein_coding";33160;5;"877359-883069";18;"Sus scrofa"
"Gene_000440";"protein_coding";37299;5;"679321-725571";13;"Homo sapiens"
"Gene_000441";"snRNA";49188;3;"776674-818220";20;"Bos taurus"
"Gene_000442";"protein_coding";19513;4;"151780-170821";14;"Homo sapiens"
"Gene_000443";"lncRNA";6014;3;"205908-231297";7;"Bos taurus"
"Gene_000444";"rRNA";48855;2;"892709-902973";10;"Sus scrofa"
"Gene_000445";"snRNA";17567;4;"943100-960709";14;"Homo sapiens"
"Gene_000446";"lncRNA";16369;4;"837964-843743";1;"Sus scrofa"
"Gene_000447";"lncRNA";31538;1;"680783-709285";13;"Bos taurus"
"Gene_000448";"rRNA";9033;1;"707674-716861";17;"Mus musculus"
"Gene_000449";"protein_coding";37517;4;"107109-124567";5;"Sus scrofa"
"Gene_000450";"protein_coding";30572;5;"561423-575612";17;"Mus musculus"
"Gene_000451";"snRNA";46306;3;"429138-456439";5;"Homo sapiens"
"Gene_000452";"protein_coding";2788;1;"496247-510871";10;"Homo sapiens"
"Gene_000453";"rRNA";29631;4;"708167-718699";15;"Mus musculus"
"Gene_000454";"protein_coding";16070;2;"580862-611063";4;"Mus musculus"
"Gene_000455";"rRNA";24781;4;"451663-466154";7;"Mus musculus"
"Gene_000456";"snRNA";48696;2;"297065-334066";1;"Sus scrofa"
"Gene_000457";"protein_coding";10203;4;"356865-403989";10;"Bos taurus"
"Gene_000458";"rRNA";35774;3;"885128-919107";15;"Sus scrofa"
"Gene_000459";"lncRNA";6092;1;"820175-827748";10;"Bos taurus"
"Gene_000460";"rRNA";18854;4;"646135-648521";20;"Mus musculus"
"Gene_000461";"rRNA";8000;4;"960641-969791";16;"Sus scrofa"
"Gene_000462";"lncRNA";13799;4;"239830-276051";1;"Bos taurus"
"Gene_000463";"lncRNA";29217;1;"802355-848453";11;"Sus scrofa"
"Gene_000464";"lncRNA";37227;4;"632382-676980";15;"Mus musculus"
"Gene_000465";"protein_coding";28032;5;"919485-925140";14;"Bos taurus"
"Gene_000466";"rRNA";21151;1;"603550-637537";7;"Mus musculus"
"Gene_000467";"lncRNA";18259;2;"623623-647698";16;"Homo sapiens"
"Gene_000468";"rRNA";36365;4;"681980-700083";12;"Mus musculus"
"Gene_000469";"protein_coding";25746;5;"325070-365417";11;"Mus musculus"
"Gene_000470";"tRNA";22531;3;"999620-1020916";14;"Homo sapiens"
"Gene_000471";"snRNA";25435;3;"369690-416738";9;"Bos taurus"
"Gene_000472";"tRNA";25238;3;"52005-91920";8;"Mus musculus"
"Gene_000473";"lncRNA";1319;4;"551669-586224";14;"Bos taurus"
"Gene_000474";"rRNA";11400;3;"330339-365678";9;"Homo sapiens"
"Gene_000475";"rRNA";4397;1;"484220-530780";10;"Bos taurus"
"Gene_000476";"protein_coding";19972;3;"116910-154625";13;"Mus musculus"
"Gene_000477";"rRNA";36337;2;"914178-943967";15;"Bos taurus"
"Gene_000478";"lncRNA";49670;4;"148156-184370";16;"Mus musculus"
"Gene_000479";"protein_coding";40010;4;"162009-199199";4;"Homo sapiens"
"Gene_000480";"protein_coding";39372;1;"80793-125515";17;"Sus scrofa"
"Gene_000481";"lncRNA";1760;1;"513639-545035";16;"Mus musculus"
"Gene_000482";"tRNA";35971;2;"131077-178875";11;"Bos taurus"
"Gene_000483";"lncRNA";6692;4;"308144-308559";11;"Sus scrofa"
"Gene_000484";"snRNA";11054;1;"953125-985771";15;"Mus musculus"
"Gene_000485";"rRNA";19135;3;"227911-235242";18;"Sus scrofa"
"Gene_000486";"rRNA";457;2;"446851-495467";17;"Bos taurus"
"Gene_000487";"rRNA";27419;2;"378874-428306";11;"Bos taurus"
"Gene_000488";"protein_coding";40545;2;"524320-547721";3;"Sus scrofa"
"Gene_000489";"lncRNA";45753;4;"37306-59481";14;"Mus musculus"
"Gene_000490";"tRNA";39097;2;"201676-224357";15;"Homo sapiens"
"Gene_000491";"lncRNA";5125;2;"782162-818116";9;"Bos taurus"
"Gene_000492";"rRNA";13156;1;"656519-658225";9;"Bos taurus"
"Gene_000493";"lncRNA";46634;5;"846026-884756";16;"Mus musculus"
"Gene_000494";"protein_coding";24429;1;"34022-34776";18;"Sus scrofa"
"Gene_000495";"rRNA";6110;1;"539099-556470";13;"Sus scrofa"
"Gene_000496";"snRNA";6093;5;"524246-552467";9;"Sus scrofa"
"Gene_000497";"rRNA";5148;3;"477383-509106";7;"Bos taurus"
"Gene_000498";"lncRNA";25921;4;"129720-179263";17;"Mus musculus"
"Gene_000499";"tRNA";15514;5;"45863-69337";5;"Homo sapiens"
"Gene_000500";"rRNA";957;5;"673593-695578";13;"Bos taurus"
"Gene_000501";"lncRNA";39969;2;"516732-560183";2;"Sus scrofa"
"Gene_000502";"lncRNA";48344;1;"140092-155728";3;"Bos taurus"
"Gene_000503";"rRNA";11325;1;"799519-810318";10;"Homo sapiens"
"Gene_000504";"protein_coding";46904;5;"190138-204003";11;"Homo sapiens"
"Gene_000505";"lncRNA";39342;2;"788121-807474";20;"Sus scrofa"
"Gene_000506";"protein_coding";37186;2;"328286-332020";9;"Homo sapiens"
"Gene_000507";"lncRNA";18713;4;"737818-745130";1;"Homo sapiens"
"Gene_000508";"snRNA";17804;3;"82575-112937";3;"Sus scrofa"
"Gene_000509";"snRNA";31801;4;"849060-857844";5;"Homo sapiens"
"Gene_000510";"snRNA";40563;2;"389265-391968";5;"Mus musculus"
"Gene_000511";"protein_coding";48454;3;"40840-79014";10;"Bos taurus"
"Gene_000512";"protein_coding";44550;3;"711415-721644";1;"Bos taurus"
"Gene_000513";"tRNA";10487;5;"958223-978638";15;"Sus scrofa"
"Gene_000514";"snRNA";1422;1;"983417-1032510";13;"Sus scrofa"
"Gene_000515";"lncRNA";10354;5;"891183-891789";14;"Bos taurus"
"Gene_000516";"snRNA";17972;3;"127575-139094";2;"Homo sapiens"
"Gene_000517";"tRNA";41740;1;"292550-328157";19;"Sus scrofa"
"Gene_000518";"tRNA";31383;3;"951283-970587";16;"Bos taurus"
"Gene_000519";"snRNA";33096;1;"875392-904891";3;"Sus scrofa"
"Gene_000520";"protein_coding";6836;2;"190762-208531";15;"Sus scrofa"
"Gene_000521";"lncRNA";2843;2;"767451-797324";19;"Homo sapiens"
"Gene_000522";"snRNA";40387;1;"20908-23822";1;"Homo sapiens"
"Gene_000523";"lncRNA";30437;5;"194085-235878";2;"Bos taurus"
"Gene_000524";"lncRNA";26842;2;"842219-849111";10;"Homo sapiens"
"Gene_000525";"snRNA";26136;1;"230673-275410";11;"Sus scrofa"
"Gene_000526";"tRNA";39959;1;"121685-146455";18;"Homo sapiens"
"Gene_000527";"protein_coding";18869;5;"87743-109830";11;"Sus scrofa"
"Gene_000528";"snRNA";25125;2;"925832-971630";9;"Bos taurus"
"Gene_000529";"rRNA";3556;4;"849725-872620";18;"Mus musculus"
"Gene_000530";"protein_coding";11278;1;"460673-462032";13;"Bos taurus"
"Gene_000531";"protein_coding";38991;3;"778374-793474";15;"Bos taurus"
"Gene_000532";"tRNA";43947;1;"78324-114621";12;"Homo sapiens"
"Gene_000533";"lncRNA";7625;5;"682222-692587";7;"Sus scrofa"
"Gene_000534";"lncRNA";36483;2;"239743-268305";8;"Mus musculus"
"Gene_000535";"protein_coding";48734;1;"447922-458698";13;"Sus scrofa"
"Gene_000536";"snRNA";47586;2;"853548-894411";13;"Sus scrofa"
"Gene_000537";"lncRNA";35931;3;"368191-392763";15;"Homo sapiens"
"Gene_000538";"tRNA";16357;5;"977182-1012943";13;"Bos taurus"
"Gene_000539";"lncRNA";42007;3;"324635-362605";5;"Homo sapiens"
"Gene_000540";"lncRNA";8375;4;"813997-856223";4;"Bos taurus"
"Gene_000541";"tRNA";29226;4;"783919-809226";8;"Homo sapiens"
"Gene_000542";"lncRNA";11045;4;"710901-715610";13;"Mus musculus"
"Gene_000543";"snRNA";27149;3;"1849-28187";12;"Sus scrofa"
"Gene_000544";"tRNA";41259;2;"664306-697985";5;"Bos taurus"
"Gene_000545";"tRNA";45655;3;"617464-623024";13;"Homo sapiens"
"Gene_000546";"lncRNA";49962;2;"393961-430851";18;"Sus scrofa"
"Gene_000547";"tRNA";18233;5;"698673-700918";3;"Mus musculus"
"Gene_000548";"tRNA";36585;2;"148920-192730";8;"Bos taurus"
"Gene_000549";"lncRNA";5464;5;"495474-525390";18;"Mus musculus"
"Gene_000550";"rRNA";10825;4;"618038-626044";11;"Bos taurus"
"Gene_000551";"protein_coding";6682;4;"107650-137978";7;"Mus musculus"
"Gene_000552";"lncRNA";46034;5;"551968-579319";11;"Mus musculus"
"Gene_000553";"tRNA";27276;2;"173881-189915";6;"Homo sapiens"
"Gene_000554";"tRNA";16477;2;"944893-967844";13;"Homo sapiens"
"Gene_000555";"snRNA";33382;1;"2474-5203";10;"Mus musculus"
"Gene_000556";"protein_coding";1051;4;"283074-292620";16;"Homo sapiens"
"Gene_000557";"protein_coding";16229;4;"505032-543284";8;"Mus musculus"
"Gene_000558";"lncRNA";46069;1;"889340-906279";19;"Mus musculus"
"Gene_000559";"tRNA";1599;5;"910696-929837";2;"Sus scrofa"
"Gene_000560";"tRNA";19077;5;"347654-358250";17;"Bos taurus"
"Gene_000561";"rRNA";11513;3;"862629-876054";2;"Sus scrofa"
"Gene_000562";"lncRNA";7107;2;"226084-255348";20;"Bos taurus"
"Gene_000563";"rRNA";48513;4;"458833-504976";6;"Sus scrofa"
"Gene_000564";"lncRNA";13599;2;"219241-246609";3;"Bos taurus"
"Gene_000565";"snRNA";47330;1;"421525-434015";18;"Sus scrofa"
"Gene_000566";"snRNA";48559;3;"353460-371032";1;"Bos taurus"
"Gene_000567";"snRNA";26453;5;"186290-227032";18;"Bos taurus"
"Gene_000568";"tRNA";11852;3;"359184-375036";19;"Homo sapiens"
"Gene_000569";"tRNA";37682;5;"431256-456256";8;"Homo sapiens"
"Gene_000570";"protein_coding";31889;3;"225332-232880";5;"Sus scrofa"
"Gene_000571";"tRNA";18050;5;"50649-90556";14;"Mus musculus"
"Gene_000572";"snRNA";9222;4;"506835-553441";17;"Sus scrofa"
"Gene_000573";"rRNA";24132;2;"389750-409896";3;"Bos taurus"
"Gene_000574";"protein_coding";14188;1;"259367-270471";15;"Bos taurus"
"Gene_000575";"protein_coding";18182;5;"780203-796581";16;"Sus scrofa"
"Gene_000576";"tRNA";17435;3;"677914-702675";17;"Mus musculus"
"Gene_000577";"tRNA";29999;5;"475879-479199";9;"Sus scrofa"
"Gene_000578";"snRNA";28387;4;"920648-958765";5;"Sus scrofa"
"Gene_000579";"snRNA";35210;5;"732873-781847";12;"Mus musculus"
"Gene_000580";"rRNA";2548;3;"48395-70991";4;"Bos taurus"
"Gene_000581";"protein_coding";41473;1;"987626-999512";16;"Homo sapiens"
"Gene_000582";"rRNA";34031;5;"861442-881647";1;"Mus musculus"
"Gene_000583";"snRNA";20126;1;"78054-105129";20;"Homo sapiens"
"Gene_000584";"snRNA";7391;3;"780706-808170";19;"Sus scrofa"
"Gene_000585";"lncRNA";16623;4;"566148-596219";6;"Homo sapiens"
"Gene_000586";"rRNA";47103;2;"827418-837720";9;"Sus scrofa"
"Gene_000587";"tRNA";42925;3;"498388-511097";8;"Sus scrofa"
"Gene_000588";"protein_coding";24636;1;"636539-641310";1;"Mus musculus"
"Gene_000589";"tRNA";14120;1;"558116-593230";14;"Homo sapiens"
"Gene_000590";"tRNA";41002;4;"31037-63012";13;"Bos taurus"
"Gene_000591";"lncRNA";45126;1;"676693-704978";11;"Homo sapiens"
"Gene_000592";"rRNA";10542;3;"978271-1027338";10;"Homo sapiens"
"Gene_000593";"protein_coding";10686;3;"189139-223499";16;"Mus musculus"
"Gene_000594";"tRNA";33411;1;"86363-106676";12;"Homo sapiens"
"Gene_000595";"lncRNA";45266;2;"226097-230379";6;"Sus scrofa"
"Gene_000596";"tRNA";44355;3;"418627-441977";19;"Homo sapiens"
"Gene_000597";"snRNA";8756;2;"702003-744600";2;"Sus scrofa"
"Gene_000598";"tRNA";27774;4;"260815-299351";10;"Sus scrofa"
"Gene_000599";"lncRNA";14854;5;"454211-503259";3;"Homo sapiens"
"Gene_000600";"tRNA";21537;5;"968910-997100";16;"Sus scrofa"
"Gene_000601";"tRNA";9887;5;"550353-568670";9;"Mus musculus"
"Gene_000602";"lncRNA";22722;1;"532577-562563";15;"Mus musculus"
"Gene_000603";"snRNA";18715;3;"76972-120852";14;"Homo sapiens"
"Gene_000604";"snRNA";40026;5;"110135-133522";6;"Bos taurus"
"Gene_000605";"protein_coding";4114;4;"979216-1018940";1;"Homo sapiens"
"Gene_000606";"rRNA";48615;5;"398489-440653";10;"Mus musculus"
"Gene_000607";"snRNA";6839;5;"995566-1017780";4;"Homo sapiens"
"Gene_000608";"rRNA";30105;1;"461101-508943";10;"Sus scrofa"
"Gene_000609";"protein_coding";15993;5;"849016-855085";3;"Mus musculus"
"Gene_000610";"tRNA";13344;2;"415924-435396";4;"Mus musculus"
"Gene_000611";"snRNA";30802;5;"831273-871093";6;"Homo sapiens"
"Gene_000612";"rRNA";19203;4;"984372-1012813";5;"Mus musculus"
"Gene_000613";"lncRNA";1081;3;"34320-62311";15;"Homo sapiens"
"Gene_000614";"lncRNA";9374;4;"265122-309566";15;"Homo sapiens"
"Gene_000615";"tRNA";37007;2;"890971-924913";10;"Mus musculus"
"Gene_000616";"protein_coding";29630;3;"164676-174220";3;"Homo sapiens"
"Gene_000617";"lncRNA";3674;2;"915074-915811";6;"Bos taurus"
"Gene_000618";"tRNA";243;1;"40080-60930";18;"Sus scrofa"
"Gene_000619";"tRNA";14398;4;"756321-785934";2;"Homo sapiens"
"Gene_000620";"snRNA";31050;4;"372678-389936";16;"Sus scrofa"
"Gene_000621";"rRNA";6511;4;"304109-323331";2;"Homo sapiens"
"Gene_000622";"lncRNA";1542;3;"238761-263951";11;"Sus scrofa"
"Gene_000623";"lncRNA";16026;4;"703462-706570";7;"Homo sapiens"
"Gene_000624";"tRNA";19555;4;"265173-304357";9;"Sus scrofa"
"Gene_000625";"lncRNA";21467;5;"176647-188679";7;"Homo sapiens"
"Gene_000626";"rRNA";41239;1;"400495-434953";6;"Sus scrofa"
"Gene_000627";"snRNA";14419;5;"8549-15366";20;"Homo sapiens"
"Gene_000628";"protein_coding";28282;5;"32793-81090";6;"Sus scrofa"
"Gene_000629";"snRNA";11960;5;"506744-511333";18;"Homo sapiens"
"Gene_000630";"snRNA";7012;4;"219903-269493";20;"Mus musculus"
"Gene_000631";"snRNA";21213;3;"108934-110523";16;"Homo sapiens"
"Gene_000632";"rRNA";46578;4;"89710-107185";2;"Mus musculus"
"Gene_000633";"rRNA";14072;5;"24575-65679";5;"Bos taurus"
"Gene_000634";"rRNA";37907;1;"816349-828185";1;"Sus scrofa"
"Gene_000635";"rRNA";46426;4;"121435-152506";17;"Sus scrofa"
"Gene_000636";"lncRNA";36954;4;"510193-552343";5;"Bos taurus"
"Gene_000637";"protein_coding";45819;2;"976822-991337";15;"Bos taurus"
"Gene_000638";"snRNA";43840;2;"340929-377578";5;"Sus scrofa"
"Gene_000639";"protein_coding";47657;1;"655456-661464";2;"Sus scrofa"
"Gene_000640";"protein_coding";877;3;"198173-243150";12;"Mus musculus"
"Gene_000641";"lncRNA";20244;1;"562261-572906";13;"Homo sapiens"
"Gene_000642";"snRNA";43353;3;"27739-68771";1;"Sus scrofa"
"Gene_000643";"tRNA";43606;5;"854163-881870";20;"Homo sapiens"
"Gene_000644";"tRNA";7911;3;"41798-75393";12;"Mus musculus"
"Gene_000645";"tRNA";27898;2;"75547-87489";16;"Bos taurus"
"Gene_000646";"protein_coding";32487;1;"125026-130902";9;"Bos taurus"
"Gene_000647";"tRNA";6579;1;"96521-108700";20;"Bos taurus"
"Gene_000648";"lncRNA";41008;5;"653295-698483";10;"Mus musculus"
"Gene_000649";"lncRNA";43581;4;"794321-807320";11;"Homo sapiens"
"Gene_000650";"lncRNA";15553;3;"47772-69497";10;"Bos taurus"
"Gene_000651";"rRNA";27743;4;"38353-74583";19;"Bos taurus"
"Gene_000652";"snRNA";6763;3;"516136-544833";20;"Mus musculus"
"Gene_000653";"protein_coding";9025;5;"631551-665964";13;"Mus musculus"
"Gene_000654";"snRNA";25617;2;"391356-439639";7;"Bos taurus"
"Gene_000655";"protein_coding";2958;2;"864218-903981";1;"Mus musculus"
"Gene_000656";"protein_coding";23273;5;"610954-641374";10;"Homo sapiens"
"Gene_000657";"snRNA";19202;3;"109105-132917";13;"Sus scrofa"
"Gene_000658";"rRNA";30854;5;"282724-312407";20;"Bos taurus"
"Gene_000659";"tRNA";29127;2;"167286-176361";6;"Mus musculus"
"Gene_000660";"lncRNA";43739;5;"448401-484881";5;"Mus musculus"
"Gene_000661";"rRNA";12033;1;"601852-617612";13;"Mus musculus"
"Gene_000662";"protein_coding";1564;4;"10171-11970";7;"Sus scrofa"
"Gene_000663";"snRNA";4762;2;"455310-483086";10;"Homo sapiens"
"Gene_000664";"lncRNA";21982;5;"614744-626759";4;"Sus scrofa"
"Gene_000665";"lncRNA";3125;1;"576124-604512";7;"Bos taurus"
"Gene_000666";"tRNA";3490;4;"246111-269237";5;"Bos taurus"
"Gene_000667";"snRNA";27131;5;"193982-195210";10;"Sus scrofa"
"Gene_000668";"tRNA";49107;5;"483898-484955";19;"Bos taurus"
"Gene_000669";"rRNA";41060;1;"337684-357937";5;"Bos taurus"
"Gene_000670";"lncRNA";26694;4;"20091-24991";1;"Bos taurus"
"Gene_000671";"snRNA";2325;3;"47170-54143";4;"Sus scrofa"
"Gene_000672";"lncRNA";37913;4;"805323-825214";19;"Sus scrofa"
"Gene_000673";"rRNA";42604;4;"251586-298824";20;"Homo sapiens"
"Gene_000674";"snRNA";15683;4;"613249-645395";8;"Bos taurus"
"Gene_000675";"rRNA";19392;4;"94892-120660";7;"Homo sapiens"
"Gene_000676";"snRNA";908;5;"670690-693469";11;"Bos taurus"
"Gene_000677";"rRNA";16624;5;"321923-354816";1;"Bos taurus"
"Gene_000678";"lncRNA";5457;4;"914086-920791";13;"Bos taurus"
"Gene_000679";"lncRNA";16841;4;"468864-474318";11;"Mus musculus"
"Gene_000680";"rRNA";25678;4;"452032-454059";2;"Sus scrofa"
"Gene_000681";"rRNA";10891;1;"96820-124243";7;"Sus scrofa"
"Gene_000682";"tRNA";37777;2;"817175-836168";9;"Sus scrofa"
"Gene_000683";"rRNA";33611;3;"560551-576667";11;"Mus musculus"
"Gene_000684";"protein_coding";1973;2;"442547-448551";6;"Sus scrofa"
"Gene_000685";"rRNA";26773;3;"221518-234482";13;"Homo sapiens"
"Gene_000686";"snRNA";19804;3;"606791-654766";6;"Bos taurus"
"Gene_000687";"protein_coding";45526;3;"756024-758854";19;"Bos taurus"
"Gene_000688";"protein_coding";17113;4;"259245-306150";5;"Sus scrofa"
"Gene_000689";"snRNA";11334;4;"360272-365658";20;"Homo sapiens"
"Gene_000690";"protein_coding";19534;1;"880897-924528";20;"Sus scrofa"
"Gene_000691";"rRNA";33452;1;"771724-820945";2;"Bos taurus"
"Gene_000692";"lncRNA";25725;1;"682878-698436";10;"Sus scrofa"
"Gene_000693";"lncRNA";30676;5;"820048-845682";3;"Mus musculus"
"Gene_000694";"tRNA";44348;2;"220421-225221";3;"Mus musculus"
"Gene_000695";"snRNA";23075;1;"350409-367244";12;"Homo sapiens"
"Gene_000696";"tRNA";9036;2;"883498-924703";14;"Bos taurus"
"Gene_000697";"lncRNA";1961;4;"60562-94526";6;"Homo sapiens"
"Gene_000698";"protein_coding";46729;5;"907326-939816";3;"Mus musculus"
"Gene_000699";"tRNA";4528;4;"798099-846548";16;"Mus musculus"
"Gene_000700";"protein_coding";14900;5;"366708-402615";15;"Homo sapiens"
"Gene_000701";"tRNA";17514;3;"331597-374032";15;"Mus musculus"
"Gene_000702";"rRNA";42156;3;"699806-721676";4;"Bos taurus"
"Gene_000703";"protein_coding";8903;4;"895460-943768";18;"Mus musculus"
"Gene_000704";"snRNA";25266;2;"13490-56008";16;"Mus musculus"
"Gene_000705";"rRNA";22168;4;"752058-792782";1;"Sus scrofa"
"Gene_000706";"snRNA";20243;2;"756458-769487";7;"Mus musculus"
"Gene_000707";"rRNA";4898;4;"312546-323322";18;"Homo sapiens"
"Gene_000708";"tRNA";38337;5;"355397-400320";17;"Sus scrofa"
"Gene_000709";"protein_coding";15210;3;"940963-978561";17;"Sus scrofa"
"Gene_000710";"tRNA";25077;1;"170546-199939";9;"Mus musculus"
"Gene_000711";"protein_coding";18466;5;"487805-496484";11;"Sus scrofa"
"Gene_000712";"lncRNA";5685;2;"674362-690275";2;"Homo sapiens"
"Gene_000713";"snRNA";26055;4;"102884-145444";10;"Homo sapiens"
"Gene_000714";"rRNA";31113;2;"304261-325039";2;"Homo sapiens"
"Gene_000715";"lncRNA";22492;1;"577279-612089";5;"Mus musculus"
"Gene_000716";"protein_coding";22229;5;"45608-76854";14;"Bos taurus"
"Gene_000717";"lncRNA";47561;1;"286376-304655";8;"Mus musculus"
"Gene_000718";"rRNA";7559;3;"914909-924432";6;"Homo sapiens"
"Gene_000719";"protein_coding";2582;1;"71557-114800";8;"Mus musculus"
"Gene_000720";"tRNA";22947;5;"352912-362950";6;"Sus scrofa"
"Gene_000721";"lncRNA";44666;4;"281428-294745";8;"Sus scrofa"
"Gene_000722";"rRNA";11352;2;"68786-108113";18;"Sus scrofa"
"Gene_000723";"snRNA";7620;5;"326791-329160";13;"Mus musculus"
"Gene_000724";"tRNA";13383;2;"424288-437815";3;"Homo sapiens"
"Gene_000725";"tRNA";14102;3;"567361-578691";14;"Mus musculus"
"Gene_000726";"lncRNA";18030;5;"26318-41085";14;"Homo sapiens"
"Gene_000727";"lncRNA";40093;1;"139355-172553";8;"Homo sapiens"
"Gene_000728";"snRNA";23590;3;"729184-767107";6;"Homo sapiens"
"Gene_000729";"rRNA";16369;4;"305941-341342";20;"Mus musculus"
"Gene_000730";"rRNA";25741;3;"654927-702570";9;"Mus musculus"
"Gene_000731";"lncRNA";24812;5;"208035-255287";9;"Bos taurus"
"Gene_000732";"lncRNA";10229;4;"475764-486527";8;"Sus scrofa"
"Gene_000733";"protein_coding";19822;3;"928866-951685";5;"Mus musculus"
"Gene_000734";"snRNA";40928;4;"679213-697934";10;"Sus scrofa"
