Description,Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
globin family protein [Roseiconus nitratireducens],Roseiconus nitratireducens,NA,2605748,53.9,53.9,90%,2e-06,26.28,143,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_150079003.1?report=genbank&log$=prottop&blast_rank=93&RID=V5JEEYS7016"",""WP_150079003.1"")"
globin family protein [Floridanema aerugineum],Floridanema aerugineum,NA,3396169,53.9,53.9,89%,2e-06,27.41,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_413274184.1?report=genbank&log$=prottop&blast_rank=94&RID=V5JEEYS7016"",""WP_413274184.1"")"
globin family protein [Thalassoporum mexicanum],Thalassoporum mexicanum,NA,3457544,55.1,55.1,86%,2e-06,31.54,214,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015164575.1?report=genbank&log$=prottop&blast_rank=95&RID=V5JEEYS7016"",""WP_015164575.1"")"
globin family protein [Adonisia turfae],Adonisia turfae,NA,2950184,55.8,105,86%,2e-06,30.77,329,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163698784.1?report=genbank&log$=prottop&blast_rank=96&RID=V5JEEYS7016"",""WP_163698784.1"")"
globin family protein [Aeoliella straminimaris],Aeoliella straminimaris,NA,2954799,53.5,53.5,95%,2e-06,26.90,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_252853711.1?report=genbank&log$=prottop&blast_rank=97&RID=V5JEEYS7016"",""WP_252853711.1"")"
globin domain-containing protein [Terrisporobacter mayombei],Terrisporobacter mayombei,NA,1541,53.9,53.9,90%,2e-06,30.66,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_228105218.1?report=genbank&log$=prottop&blast_rank=98&RID=V5JEEYS7016"",""WP_228105218.1"")"
globin family protein [Aeoliella mucimassa],Aeoliella mucimassa,NA,2527972,53.5,53.5,78%,2e-06,26.89,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197529164.1?report=genbank&log$=prottop&blast_rank=99&RID=V5JEEYS7016"",""WP_197529164.1"")"
globin family protein [Bradyrhizobium guangxiense],Bradyrhizobium guangxiense,NA,1325115,53.9,53.9,97%,2e-06,26.53,142,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_128924421.1?report=genbank&log$=prottop&blast_rank=100&RID=V5JEEYS7016"",""WP_128924421.1"")"



		


